WID,WELL_NAME,WELL_S_NAM,ELEVATION,DEPTH_m,ID_NQN,LATITUDE,LONGITUDE,F_ID,RID,Geometry_ID,OP_ID,ST_ID,FM_ID
12612,PBE.Nq.M-1057,M-1057,624.74,1690,A076,-38.59734945,-69.38520604,1,2,0,16,1,14
12613,TPT.Nq.PS.xp-1005,PS.xp-1005,607.8,3130,A206,-38.87665614,-68.58954334,1,2,0,30,1,11
12614,APS.Nq.ADC-1029,ADC-1029,350.2,2450,A001,-38.861084,-68.40458343,8,0,0,3,1,13
12615,YPF.Nq.Laj-140(d),Laj-140(d),617.41,999999,A117,-38.74424656,-68.90415298,8,2,1,2,1,10
12616,YPF.Nq.CHO.ia-60(d),CHO.ia-60(d),999999,999999,A040,-37.40521749,-68.84985009,0,0,1,2,10,24
12617,YPF.Nq.CHO-61(d),CHO-61(d),579.52,1174,A040,-37.40320356,-68.84622861,8,0,1,2,1,20
12618,YPF.Nq.LACh-24(h),LACh-24(h),337.68,2761,A096,-38.22183474,-68.69211299,8,1,2,2,1,23
12619,YPF.Nq.SOil-310(h),SOil-310(h),496.18,999999,A114,-38.38518406,-68.57958892,8,1,2,2,1,23
12620,YPF.Nq.PMo.ia-217(d),PMo.ia-217(d),646.03,735,A048,-37.20999259,-69.13750711,8,0,1,2,1,9
12621,YPF.Nq.PMo.ia-218(d),PMo.ia-218(d),645.94,671,A048,-37.20706222,-69.11864775,8,0,1,2,1,9
12622,PAE.Nq.LA-257(d),LA-257(d),352.18,4225,A112,-38.74538967,-68.24638594,8,2,1,18,1,10
12623,YPF.Nq.-309,309,579.72,658,A028,-38.93921634,-69.18503906,6,0,0,99,0,24
12624,PAE.Nq.LA-255(d),LA-255(d),352.13,4208,A112,-38.74521533,-68.24615694,1,2,1,18,1,10
12625,SJ.Nq.PdCQ.x-1,PdCQ.x-1,986.42,1417,A185,-39.13630725,-69.92551178,4,0,0,99,1,15
12626,TAU.Nq.LCar-46(h),Lcar-46(h),650.91,999999,A246,-38.25784729,-69.26011449,1,2,2,29,2,14
12627,SHE.Nq.SB.e-1011(h),SB.e-1011(h),393,4857,A168,-38.49475528,-68.47182494,8,1,2,22,1,23
12628,SHE.Nq.SB.e-1010(h),SB.e-1010(h),393,4811,A168,-38.49475605,-68.4719963,4,1,2,22,1,23
12629,SHE.Nq.SB.e-1009(h),SB.e-1009(h),393,4874,A168,-38.49475907,-68.47216547,4,1,2,22,1,23
12630,PAE.Nq.LA-264(h),LA-264(h),386.53,5474.2,A112,-38.71286014,-68.29698368,1,2,2,18,1,10
12631,YPF.Nq.LLL.c-1219,LLL.c-1219,999999,999999,A114,-38.33055675,-68.86965436,8,0,0,2,10,24
12632,YPF.Nq.LLL.c-1221,LLL.c-1221,999999,999999,A114,-38.40875421,-68.63232453,8,0,0,2,10,24
